序号,模板时间段,附件时间,电价(元/kWh),负载功率(kW),光伏功率(kW),购电功率(kW),购电量(kWh),充电功率(kW),充电量(kWh),放电功率(kW),放电量(kWh),弃光功率(kW),弃光量(kWh),时段初储电量(kWh),时段末储电量(kWh),购电费(元)
23,3:50-4:00,03:50:00,0.436,3546.3976,0.0,3546.3976,591.0662666666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,257.70489226666666
24,4:00-4:10,04:00:00,0.4378,3560.207,0.0,3560.207,593.3678333333332,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,259.7764374333333
25,4:10-4:20,04:10:00,0.4401,3561.9581,0.0,3561.9581,593.6596833333333,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,261.26962663499995
26,4:20-4:30,04:20:00,0.4389,3556.7183,0.0,3556.7183,592.7863833333333,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,260.173943645
27,4:30-4:40,04:30:00,0.4364,3560.0272,0.0,3560.0272,593.3378666666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,258.9326450133333
28,4:40-4:50,04:40:00,0.4393,3580.654,0.5994,3580.0546,596.6757666666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,262.11966429666666
29,4:50-5:00,04:50:00,0.4422,3586.916,0.2345,3586.6815,597.78025,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,264.33842655
30,5:00-5:10,05:00:00,0.4395,3571.2635,0.2885,3570.975,595.1624999999999,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,261.57391874999996
31,5:10-5:20,05:10:00,0.4333,3562.3171,18.6781,3543.639,590.6065,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,255.90979645
32,5:20-5:30,05:20:00,0.4439,3591.3809,54.4698,3536.9111000000003,589.4851833333333,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,261.6724728816667
33,5:30-5:40,05:30:00,0.4301,3579.7045,108.9718,3470.7327,578.4554499999999,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,248.79368904499998
34,5:40-5:50,05:40:00,0.3713,3486.119,184.1603,8301.9587,1383.659783333333,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,10050.0,10800.0,513.7528775516666
35,5:50-6:00,05:50:00,0.5708,3823.8994,277.0582,3546.8412,591.1401999999999,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,337.42282615999994
36,6:00-6:10,06:00:00,0.9099,4398.0727,388.5494,0.0,0.0,0.0,0.0,4009.5233,668.2538833333333,0.0,0.0,10800.0,10057.495685185186,0.0
37,6:10-6:20,06:10:00,0.9368,4454.0123,521.2803,0.0,0.0,0.0,0.0,3932.7320000000004,655.4553333333333,0.0,0.0,10057.495685185186,9329.211981481481,0.0
38,6:20-6:30,06:20:00,0.8758,4371.7919,672.7677,0.0,0.0,0.0,0.0,3699.0242000000003,616.5040333333334,0.0,0.0,9329.211981481481,8644.2075,0.0
39,6:30-6:40,06:30:00,0.8759,4392.953,844.2261,0.0,0.0,0.0,0.0,3548.7269000000006,591.4544833333334,0.0,0.0,8644.2075,7987.035851851852,0.0
40,6:40-6:50,06:40:00,0.8601,4384.5956,1039.6744,0.0,0.0,0.0,0.0,3344.9211999999998,557.4868666666666,0.0,0.0,7987.035851851852,7367.606000000001,0.0
41,6:50-7:00,06:50:00,0.8442,4434.7757,1259.3375,0.0,0.0,0.0,0.0,3175.4382,529.2397,0.0,0.0,7367.606000000001,6779.561888888889,0.0
42,7:00-7:10,07:00:00,0.8334,4523.4561,1508.6318,0.0,0.0,0.0,0.0,3014.8243,502.4707166666667,0.0,0.0,6779.561888888889,6221.261092592593,0.0
43,7:10-7:20,07:10:00,0.8092,4524.0721,1791.4107,0.0,0.0,0.0,0.0,2732.6614000000004,455.4435666666667,0.0,0.0,6221.261092592593,5715.212685185185,0.0
44,7:20-7:30,07:20:00,0.7972,4545.8867,2085.4865,0.0,0.0,0.0,0.0,2460.4002,410.06669999999997,0.0,0.0,5715.212685185185,5259.583018518519,0.0
45,7:30-7:40,07:30:00,0.7644,4523.2418,2381.2611,0.0,0.0,0.0,0.0,2141.9806999999996,356.99678333333327,0.0,0.0,5259.583018518519,4862.919925925926,0.0
46,7:40-7:50,07:40:00,0.6899,4383.3566,2683.1752,0.00021254871157320648,3.542478526220108e-05,0.0,0.0,1700.1811874512885,283.3635312418814,0.0,0.0,4862.919925925926,4548.071557879391,2.4439559352392523e-05
47,7:50-8:00,07:50:00,0.86,4910.4599,2986.3552,0.0,0.0,0.0,0.0,1924.1046999999999,320.6841166666666,0.0,0.0,4548.071557879391,4191.755872694205,0.0
48,8:00-8:10,08:00:00,1.1617,5799.7327,3289.204,0.0,0.0,0.0,0.0,2510.5286999999994,418.4214499999999,0.0,0.0,4191.755872694205,3726.843150471983,0.0
49,8:10-8:20,08:10:00,1.1683,5884.826,3593.3613,0.0,0.0,0.0,0.0,2291.4647,381.9107833333333,0.0,0.0,3726.843150471983,3302.4978356571683,0.0
50,8:20-8:30,08:20:00,1.0956,5748.0713,3890.7332,0.0,0.0,0.0,0.0,1857.3380999999995,309.5563499999999,0.0,0.0,3302.4978356571683,2958.546335657168,0.0
51,8:30-8:40,08:30:00,1.0849,5769.0581,4181.3417,0.0,0.0,0.0,0.0,1587.7164000000002,264.61940000000004,0.0,0.0,2958.546335657168,2664.5247801016126,0.0
52,8:40-8:50,08:40:00,1.061,5754.2105,4471.7657,0.0,0.0,0.0,0.0,1282.4448000000002,213.74080000000004,0.0,0.0,2664.5247801016126,2427.0350023238348,0.0
53,8:50-9:00,08:50:00,1.043,5824.1807,4752.8272,0.0,0.0,0.0,0.0,1071.3535000000002,178.55891666666668,0.0,0.0,2427.0350023238348,2228.6362060275383,0.0
54,9:00-9:10,09:00:00,1.036,5954.2601,5021.9074,0.0,0.0,0.0,0.0,932.3527000000004,155.3921166666667,0.0,0.0,2228.6362060275383,2055.9782986201308,0.0
55,9:10-9:20,09:10:00,1.0147,5958.9696,5285.4126,0.0,0.0,0.0,0.0,673.5570000000007,112.25950000000012,0.0,0.0,2055.9782986201308,1931.2455208423528,0.0
56,9:20-9:30,09:20:00,0.9922,5929.5554,5543.1742,0.0,0.0,0.0,0.0,386.3811999999998,64.39686666666663,0.0,0.0,1931.2455208423528,1859.6934467682788,0.0
57,9:30-9:40,09:30:00,0.97,5923.7828,5788.4093,0.0,0.0,0.0,0.0,135.3734999999997,22.56224999999995,0.0,0.0,1859.6934467682788,1834.6242801016122,0.0
58,9:40-9:50,09:40:00,0.9422,5907.586,6012.1304,0.0,0.0,104.54439999999977,17.424066666666626,0.0,0.0,0.0,0.0,1834.6242801016122,1850.3059401016121,0.0
59,9:50-10:00,09:50:00,0.9569,5899.1262,6216.1528,0.0,0.0,317.02660000000014,52.83776666666669,0.0,0.0,0.0,0.0,1850.3059401016121,1897.8599301016122,0.0
60,10:00-10:10,10:00:00,0.9977,5902.2196,6409.5941,0.0,0.0,507.3744999999999,84.56241666666665,0.0,0.0,0.0,0.0,1897.8599301016122,1973.9661051016121,0.0
61,10:10-10:20,10:10,0.9919,5897.4793,6599.3808,0.0,0.0,701.9014999999999,116.98358333333331,0.0,0.0,0.0,0.0,1973.9661051016121,2079.251330101612,0.0
62,10:20-10:30,10:20,0.9588,5886.7568,6766.7204,0.0,0.0,879.9636,146.6606,0.0,0.0,0.0,0.0,2079.251330101612,2211.245870101612,0.0
63,10:30-10:40,10:30,0.9549,5873.4708,6914.5923,0.0,0.0,1041.1215000000002,173.52025000000003,0.0,0.0,0.0,0.0,2211.245870101612,2367.414095101612,0.0
64,10:40-10:50,10:40,0.9839,5858.0308,7064.2053,0.0,0.0,1206.1744999999992,201.02908333333318,0.0,0.0,0.0,0.0,2367.414095101612,2548.340270101612,0.0
65,10:50-11:00,10:50,0.799,5844.9948,7197.4315,0.0,0.0,1352.4366999999993,225.40611666666655,0.0,0.0,0.0,0.0,2548.340270101612,2751.205775101612,0.0
66,11:00-11:10,11:00,0.5025,5839.0587,7303.1142,0.0,0.0,1464.0555000000004,244.00925000000007,0.0,0.0,0.0,0.0,2751.205775101612,2970.814100101612,0.0
67,11:10-11:20,11:10,0.4662,5838.7103,7387.6848,3451.0254999999997,575.1709166666666,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,2970.814100101612,3720.814100101612,268.1446813499999
68,11:20-11:30,11:20,0.5007,5823.4378,7459.227,0.0,0.0,1635.7892000000002,272.6315333333333,0.0,0.0,0.0,0.0,3720.814100101612,3966.182480101612,0.0
69,11:30-11:40,11:30,0.4827,5814.7932,7520.7191,0.0,0.0,1705.9259000000002,284.32098333333334,0.0,0.0,0.0,0.0,3966.182480101612,4222.071365101612,0.0
70,11:40-11:50,11:40,0.4785,5832.3951,7568.2039,1075.6627659892777,179.2771276648796,2811.471565989278,468.57859433154636,0.0,0.0,0.0,0.0,4222.071365101612,4643.792100000004,85.78410558764489
71,11:50-12:00,11:50,0.4662,5712.901,7592.1539,3120.7470999999996,520.1245166666665,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,4643.792100000004,5393.792100000004,242.48204966999995
72,12:00-12:10,12:00,0.4432,5519.4607,7601.0433,2918.4173999999994,486.4028999999999,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,5393.792100000004,6143.792100000004,215.57376527999992
73,12:10-12:20,12:10,0.4411,5494.7907,7612.316,2882.4746999999998,480.4124499999999,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,6143.792100000004,6893.792100000004,211.90993169499998
74,12:20-12:30,12:20,0.4551,5514.4524,7602.6524,2911.8,485.3,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,6893.792100000004,7643.792100000004,220.86003
75,12:30-12:40,12:30,0.4463,5485.829,7554.1872,2931.6417999999994,488.60696666666655,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,7643.792100000004,8393.792100000004,218.06528922333328
76,12:40-12:50,12:40,0.4113,5462.3628,7472.7384,2989.6243999999997,498.2707333333333,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,8393.792100000004,9143.792100000004,204.93875261999997
77,12:50-13:00,12:50,0.5682,5566.1066,7393.4172,0.0,0.0,1827.3105999999998,304.5517666666666,0.0,0.0,0.0,0.0,9143.792100000004,9417.888690000003,0.0
78,13:00-13:10,13:00,0.8279,5725.7548,7312.7979,0.0,0.0,1587.0430999999999,264.5071833333333,0.0,0.0,0.0,0.0,9417.888690000003,9655.945155000003,0.0
79,13:10-13:20,13:10,0.8636,5739.4957,7194.541,0.0,0.0,1455.0452999999998,242.50754999999995,0.0,0.0,0.0,0.0,9655.945155000003,9874.201950000002,0.0
80,13:20-13:30,13:20,0.8416,5714.6836,7053.1371,0.0,0.0,1338.4534999999996,223.07558333333327,0.0,0.0,0.0,0.0,9874.201950000002,10074.969975000002,0.0
81,13:30-13:40,13:30,0.8618,5717.8505,6910.4064,0.0,0.0,1192.5559000000003,198.7593166666667,0.0,0.0,0.0,0.0,10074.969975000002,10253.853360000001,0.0
82,13:40-13:50,13:40,0.8623,5708.2486,6772.4075,0.0,0.0,1064.1589000000004,177.35981666666672,0.0,0.0,0.0,0.0,10253.853360000001,10413.477195000001,0.0
83,13:50-14:00,13:50,0.9026,5696.9182,6607.36,0.0,0.0,910.4417999999996,151.74029999999993,0.0,0.0,0.0,0.0,10413.477195000001,10550.043465,0.0
84,14:00-14:10,14:00,0.9754,5692.2983,6412.5085,0.0,0.0,720.2101999999995,120.03503333333325,0.0,0.0,0.0,0.0,10550.043465,10658.074995,0.0
85,14:10-14:20,14:10,1.0002,5687.1291,6214.0158,0.0,0.0,526.8867,87.81445,0.0,0.0,0.0,0.0,10658.074995,10737.108,0.0
86,14:20-14:30,14:20,0.9978,5678.962,6000.7112,0.0,0.0,321.7491999999993,53.62486666666655,0.0,0.0,0.0,0.0,10737.108,10785.37038,0.0
87,14:30-14:40,14:30,1.0271,5669.4508,5766.9816,0.0,0.0,97.53080000000045,16.255133333333408,0.0,0.0,0.0,0.0,10785.37038,10800.0,0.0
88,14:40-14:50,14:40,1.0906,5664.1948,5521.5066,0.0,0.0,0.0,0.0,142.6882000000005,23.78136666666675,0.0,0.0,10800.0,10773.57625925926,0.0
89,14:50-15:00,14:50,0.9376,5672.7011,5268.781,0.0,0.0,0.0,0.0,403.9201000000003,67.3200166666667,0.0,0.0,10773.57625925926,10698.77624074074,0.0
90,15:00-15:10,15:00,0.6694,5682.2544,5009.7152,672.5392000000002,112.0898666666667,0.0,0.0,0.0,0.0,0.0,0.0,10698.77624074074,10698.77624074074,75.03295674666668
91,15:10-15:20,15:10,0.66,5669.0195,4743.4484,1600.3961617283946,266.7326936213991,674.8250617283945,112.47084362139908,0.0,0.0,0.0,0.0,10698.77624074074,10800.0,176.04357779012344
92,15:20-15:30,15:20,0.7217,5656.3651,4471.224,1185.1410999999998,197.52351666666664,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,142.5527219783333
93,15:30-15:40,15:30,0.7308,5657.0867,4188.2025,1468.8841999999995,244.81403333333324,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,178.91009555999995
94,15:40-15:50,15:40,0.7534,5662.6008,3889.3931,1773.2077000000004,295.5346166666667,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,222.6557801966667
95,15:50-16:00,15:50,0.7823,5669.2596,3594.5946,2074.6650000000004,345.77750000000003,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,270.50173825
96,16:00-16:10,16:00,0.8055,5673.4767,3303.8878,2369.5889,394.93148333333335,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,318.117309825
97,16:10-16:20,16:10,0.8271,5671.0146,2998.4247,2672.5899000000004,445.43165000000005,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,368.41651771500005
98,16:20-16:30,16:20,0.8519,5661.5926,2687.4131,2974.1794999999997,495.69658333333325,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,422.28391934166666
99,16:30-16:40,16:30,0.8791,5665.8922,2383.1779,3282.7143,547.11905,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,480.97235685500004
100,16:40-16:50,16:40,0.9024,5689.0372,2089.1246,3599.9125999999997,599.9854333333333,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,541.42685504
101,16:50-17:00,16:50,0.9163,5603.6614,1791.0829,3812.5784999999996,635.4297499999999,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,582.2442799249999
102,17:00-17:10,17:00,0.9264,5466.7124,1501.7283,3964.9841000000006,660.8306833333334,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,612.1935450400001
103,17:10-17:20,17:10,0.9462,5467.3939,1255.1723,4212.2216,702.0369333333333,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,664.26734632
104,17:20-17:30,17:20,0.9742,5464.727,1036.3323,4428.3947,738.0657833333332,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,719.0236861233332
105,17:30-17:40,17:30,0.9862,5492.4458,836.7775,4655.6683,775.9447166666666,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,765.2366795766667
106,17:40-17:50,17:40,0.976,5621.7308,665.2313,4956.4995,826.0832499999999,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,806.257252
107,17:50-18:00,17:50,1.0742,5091.2126,516.6758,4574.5368,762.4227999999999,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,818.99457176
108,18:00-18:10,18:00,1.2313,4208.5688,386.6731,3821.8957,636.9826166666667,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,784.3166959016667
109,18:10-18:20,18:10,1.2561,4122.7611,275.7933,3191.3642999999997,531.8940499999999,0.0,0.0,655.6035000000004,109.26725000000006,0.0,0.0,10800.0,10678.591944444444,668.1121162049999
110,18:20-18:30,18:20,1.2447,4255.9358,182.9526,4072.9832,678.8305333333333,0.0,0.0,0.0,0.0,0.0,0.0,10678.591944444444,10678.591944444444,844.9403648399999
111,18:30-18:40,18:30,1.2545,4225.9524,108.3414,4117.611,686.2684999999999,0.0,0.0,0.0,0.0,0.0,0.0,10678.591944444444,10678.591944444444,860.9238332499999
112,18:40-18:50,18:40,1.2522,4233.3384,54.3121,4179.0262999999995,696.5043833333332,0.0,0.0,0.0,0.0,0.0,0.0,10678.591944444444,10678.591944444444,872.1627888099998
113,18:50-19:00,18:50,1.2881,4246.4625,18.6569,0.0,0.0,0.0,0.0,4227.8056,704.6342666666666,0.0,0.0,10678.591944444444,9895.664981481481,0.0
114,19:00-19:10,19:00,1.3466,4239.1795,0.2753,0.0,0.0,0.0,0.0,4238.9042,706.4840333333333,0.0,0.0,9895.664981481481,9110.682722222222,0.0
115,19:10-19:20,19:10,1.3523,4244.6684,0.2296,0.0,0.0,0.0,0.0,4244.4388,707.4064666666666,0.0,0.0,9110.682722222222,8324.675537037037,0.0
116,19:20-19:30,19:20,1.3445,4251.9187,0.6007,0.0,0.0,0.0,0.0,4251.318,708.553,0.0,0.0,8324.675537037037,7537.394425925926,0.0
117,19:30-19:40,19:30,1.3483,4256.6813,0.0,0.0,0.0,0.0,0.0,4256.6813,709.4468833333333,0.0,0.0,7537.394425925926,6749.120111111111,0.0
118,19:40-19:50,19:40,1.349,4267.3947,0.0,0.0,0.0,0.0,0.0,4267.3947,711.23245,0.0,0.0,6749.120111111111,5958.861833333333,0.0
119,19:50-20:00,19:50,1.3473,4269.975,0.0,0.0,0.0,0.0,0.0,4269.975,711.6625,0.0,0.0,5958.861833333333,5168.125722222222,0.0
120,20:00-20:10,20:00,1.3482,4268.6702,0.0,0.0,0.0,0.0,0.0,4268.6702,711.4450333333332,0.0,0.0,5168.125722222222,4377.63124074074,0.0
121,20:10-20:20,20:10,1.3513,4282.2245,0.0,0.0,0.0,0.0,0.0,4282.2245,713.7040833333333,0.0,0.0,4377.63124074074,3584.6267037037037,0.0
122,20:20-20:30,20:20,1.34,4291.7049,0.0,0.0,0.0,0.0,0.0,4291.7049,715.28415,0.0,0.0,3584.6267037037037,2789.8665370370372,0.0
123,20:30-20:40,20:30,1.3489,4291.3611,0.0,0.0,0.0,0.0,0.0,4291.3611,715.22685,0.0,0.0,2789.8665370370372,1995.170037037037,0.0
124,20:40-20:50,20:40,1.3952,4293.9182,0.0,0.0,0.0,0.0,0.0,4293.9182,715.6530333333333,0.0,0.0,1995.170037037037,1200.0,0.0
125,20:50-21:00,20:50,1.2226,4295.2135,0.0,4295.2135,715.8689166666666,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,875.2213375166666
126,21:00-21:10,21:00,0.9332,4302.0307,0.0,4302.0307,717.0051166666667,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,669.1091748733334
127,21:10-21:20,21:10,0.9068,4320.9618,0.0,4320.9618,720.1603,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,653.04136004
128,21:20-21:30,21:20,0.9371,4302.3292,0.0,4302.3292,717.0548666666666,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,671.9521155533333
129,21:30-21:40,21:30,0.9371,4322.6758,0.0,4322.6758,720.4459666666667,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,675.1299153633333
130,21:40-21:50,21:40,0.9871,4428.8083,0.0,4428.8083,738.1347166666666,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,728.6127788216666
131,21:50-22:00,21:50,0.7764,4030.1614,0.0,4030.1614,671.6935666666666,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,521.50288516
132,22:00-22:10,22:00,0.4209,3362.7419,0.0,8362.7419,1393.7903166666667,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,1200.0,1950.0,586.646344285
133,22:10-22:20,22:10,0.3859,3309.3934,0.0,8309.3934,1384.8989000000001,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,1950.0,2700.0,534.4324855100001
134,22:20-22:30,22:20,0.4368,3412.9563,0.0,3412.9563,568.8260499999999,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,2700.0,248.46321863999998
135,22:30-22:40,22:30,0.4198,3381.9313,0.0,8381.9313,1396.98855,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,2700.0,3450.0,586.45579329
136,22:40-22:50,22:40,0.4186,3386.5592,0.0,8386.5592,1397.7598666666665,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,3450.0,4200.0,585.1022801866666
137,22:50-23:00,22:50,0.4241,3400.4846,0.0,3400.4846,566.7474333333332,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,4200.0,240.35758647666663
138,23:00-23:10,23:00,0.4237,3399.2426,0.0,8399.2426,1399.8737666666666,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,4200.0,4950.0,593.1265149366666
139,23:10-23:20,23:10,0.4248,3406.9809,0.0,3406.9809,567.83015,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,4950.0,241.21424772
140,23:20-23:30,23:20,0.424,3416.1518,0.0,3416.1518,569.3586333333333,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,4950.0,241.4080605333333
141,23:30-23:40,23:30,0.422,3421.9811,0.0,8421.9811,1403.6635166666667,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,4950.0,5700.0,592.3460040333333
142,23:40-23:50,23:40,0.424,3429.6923,0.0,5429.692300000001,904.9487166666668,2000.0,333.3333333333333,0.0,0.0,0.0,0.0,5700.0,6000.0,383.69825586666667
143,23:50-0:00+1,23:50,0.4271,3439.061,0.0,3439.061,573.1768333333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,244.80382551666665
144,0:00+1-0:10+1,0:00+1,0.4276,3444.7259,0.0,3444.7259,574.1209833333332,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,245.4941324733333
